config_name,split,iteration,scene_name,PSNR,SSIM,LPIPS,FPS,NUM,Training_time
3dgs,train,30000,bicycle,26.301,0.85839,0.16865,243.2,4894363,12.23
3dgs,train,30000,flowers,24.340,0.77191,0.23247,404.5,2862029,8.52
3dgs,train,30000,garden,30.056,0.91791,0.08260,278.3,4167140,12.38
3dgs,train,30000,stump,30.821,0.90229,0.14920,367.7,3899313,9.45
3dgs,train,30000,treehill,24.417,0.79916,0.23296,373.7,3194694,8.69
3dgs,train,30000,bonsai,33.640,0.95165,0.19938,687.9,1084756,6.37
3dgs,train,30000,counter,30.612,0.92838,0.18013,552.5,1110495,7.08
3dgs,train,30000,kitchen,33.541,0.94844,0.10899,412.1,1625774,8.82
3dgs,train,30000,room,34.588,0.94028,0.19896,573.6,1372272,6.93
3dgs,train,30000,playroom,37.666,0.95706,0.20193,566.9,1893513,7.91
3dgs,train,30000,drjohnson,36.330,0.95832,0.18323,411.0,3132130,9.81
3dgs,train,30000,train,26.151,0.88009,0.16659,531.1,1095071,5.04
3dgs,train,30000,truck,27.912,0.91752,0.13024,492.9,1957296,6.26
