config_name,split,iteration,scene_name,PSNR,SSIM,LPIPS,FPS,NUM,Training_time
absgs,train,30000,bicycle,27.577,0.89903,0.12188,253.8,4916344,12.39
absgs,train,30000,flowers,26.047,0.85121,0.16198,365.8,3222521,9.36
absgs,train,30000,garden,30.419,0.92348,0.07559,350.1,3190904,10.21
absgs,train,30000,stump,32.939,0.93981,0.09967,382.7,3649297,9.20
absgs,train,30000,treehill,26.655,0.87965,0.15528,313.7,3904922,10.62
absgs,train,30000,bonsai,33.872,0.95375,0.18987,744.2,886448,5.85
absgs,train,30000,counter,31.123,0.93213,0.17263,587.4,932466,6.83
absgs,train,30000,kitchen,33.651,0.94888,0.10642,438.0,1386569,8.34
absgs,train,30000,room,34.978,0.94646,0.18219,543.7,1409929,7.22
absgs,train,30000,playroom,37.885,0.95780,0.19703,680.1,1342404,6.76
absgs,train,30000,drjohnson,36.909,0.96040,0.17683,462.8,2579539,8.89
absgs,train,30000,train,26.867,0.89381,0.15311,596.2,1036107,4.83
absgs,train,30000,truck,28.659,0.92346,0.12122,699.1,1263947,4.73
