config_name,split,iteration,scene_name,PSNR,SSIM,LPIPS,FPS,NUM,Training_time
mcmc,train,30000,bicycle,27.036,0.88358,0.14032,180.0,5900000,16.68
mcmc,train,30000,bonsai,33.630,0.95488,0.18996,466.1,1300000,8.23
mcmc,train,30000,counter,30.903,0.93469,0.16828,434.0,1200000,8.82
mcmc,train,30000,flowers,25.386,0.82062,0.19429,208.1,3600000,13.32
mcmc,train,30000,garden,30.204,0.92407,0.07296,192.3,5200000,17.75
mcmc,train,30000,kitchen,33.389,0.94775,0.11015,343.6,1800000,10.83
mcmc,train,30000,playroom,35.754,0.94999,0.21534,561.2,2500000,8.00
mcmc,train,30000,room,34.567,0.94413,0.18651,532.6,1500000,8.36
mcmc,train,30000,stump,31.854,0.92679,0.11796,198.6,4750000,14.35
mcmc,train,30000,treehill,25.341,0.83768,0.19242,264.3,3700000,11.84
