config_name,split,iteration,scene_name,PSNR,SSIM,LPIPS,FPS,NUM,Training_time
minigs,train,30000,bicycle,26.935,0.89101,0.12151,262.7,4504890,12.58
minigs,train,30000,flowers,26.664,0.88619,0.12502,240.6,4515161,13.67
minigs,train,30000,garden,30.479,0.93123,0.06193,222.3,4503716,14.95
minigs,train,30000,stump,33.230,0.95142,0.07646,285.3,4514779,12.23
minigs,train,30000,treehill,26.185,0.88141,0.13576,250.1,4513604,13.13
minigs,train,30000,bonsai,34.276,0.95993,0.16902,391.9,2252608,10.63
minigs,train,30000,counter,31.530,0.94446,0.13972,312.3,2239111,12.48
minigs,train,30000,kitchen,33.840,0.95263,0.09751,343.3,2102849,11.65
minigs,train,30000,room,35.048,0.95010,0.16545,412.9,2253058,10.10
minigs,train,30000,playroom,38.031,0.96309,0.15186,601.9,2258244,7.66
minigs,train,30000,drjohnson,37.159,0.96218,0.15428,621.4,2282775,8.23
minigs,train,30000,train,27.101,0.91056,0.12321,334.4,2264207,8.82
minigs,train,30000,truck,28.182,0.93328,0.07666,373.7,2264563,8.62
